"dialog_id","turn_id","context","target"
"1_00000","1","<|begincontext|><|beginlastuserutterance|>I am feeling hungry so I would like to find a place to eat.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|><|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM_INTENT->Restaurants^intent~FindRestaurants<|enduseraction|><|beginaction|>REQUEST->Restaurants^city~<|endaction|><|beginresponse|>Do you have a specific which you want the eating place to be located at?<|endresponse|><|endtarget|>"
"1_00000","2","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|beginlastuserutterance|>I would like for it to be in San Jose.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->San Jose<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^city~San Jose<|enduseraction|><|beginaction|>REQUEST->Restaurants^cuisine~Mexican~Italian<|endaction|><|beginresponse|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|endresponse|><|endtarget|>"
"1_00000","3","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|beginlastuserutterance|>I usually like eating the American type of food.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->San Jose|Restaurants^cuisine->American<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^cuisine~American<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~71 Saint Peter|OFFER->Restaurants^city~San Jose<|endaction|><|beginresponse|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|endresponse|><|endtarget|>"
"1_00000","4","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|beginlastuserutterance|>Can you give me the address of this restaurant.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginrequestedslots|>Restaurants^street_address<|endrequestedslots|><|beginbelief|>Restaurants^city->San Jose|Restaurants^cuisine->American<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST->Restaurants^street_address~<|enduseraction|><|beginaction|>INFORM->Restaurants^street_address~71 North San Pedro Street<|endaction|><|beginresponse|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|endresponse|><|endtarget|>"
"1_00000","5","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|beginlastuserutterance|>Can you give me the phone number that I can contact them with?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginrequestedslots|>Restaurants^phone_number<|endrequestedslots|><|beginbelief|>Restaurants^city->San Jose|Restaurants^cuisine->American<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST->Restaurants^phone_number~<|enduseraction|><|beginaction|>INFORM->Restaurants^phone_number~408-971-8523<|endaction|><|beginresponse|>If you want to phone them you can at 408-971-8523.<|endresponse|><|endtarget|>"
"1_00000","6","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|beginlastuserutterance|>Is there some other restaurant which you can suggest?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->San Jose|Restaurants^cuisine->American<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST_ALTS->Restaurants^~<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~Bazille|OFFER->Restaurants^city~San Jose<|endaction|><|beginresponse|>How would you like Bazille restaurant which is situated in San Jose.<|endresponse|><|endtarget|>"
"1_00000","7","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|beginlastuserutterance|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^price_range->moderate<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^price_range~moderate|INFORM->Restaurants^city~Palo Alto|REQUEST_ALTS->Restaurants^~<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~Bird Dog|OFFER->Restaurants^city~Palo Alto|INFORM_COUNT->Restaurants^count~7<|endaction|><|beginresponse|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|endresponse|><|endtarget|>"
"1_00000","8","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|user|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|system|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|beginlastuserutterance|>Alright, that seems good. I would like to make a booking at this restaurant.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^price_range->moderate|Restaurants^restaurant_name->Bird Dog<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM_INTENT->Restaurants^intent~ReserveRestaurant|SELECT->Restaurants^~<|enduseraction|><|beginaction|>REQUEST->Restaurants^time~<|endaction|><|beginresponse|>For which time do you want the booking to be?<|endresponse|><|endtarget|>"
"1_00000","9","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|user|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|system|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|user|>Alright, that seems good. I would like to make a booking at this restaurant.<|system|>For which time do you want the booking to be?<|beginlastuserutterance|>I will be eating there at 11:30 am so make it for then.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^price_range->moderate|Restaurants^restaurant_name->Bird Dog|Restaurants^time->11:30 am<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^time~11:30 am<|enduseraction|><|beginaction|>CONFIRM->Restaurants^restaurant_name~Bird Dog|CONFIRM->Restaurants^city~Palo Alto|CONFIRM->Restaurants^time~11:30 am|CONFIRM->Restaurants^party_size~2|CONFIRM->Restaurants^date~today<|endaction|><|beginresponse|>Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.<|endresponse|><|endtarget|>"
"1_00000","10","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|user|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|system|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|user|>Alright, that seems good. I would like to make a booking at this restaurant.<|system|>For which time do you want the booking to be?<|user|>I will be eating there at 11:30 am so make it for then.<|system|>Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.<|beginlastuserutterance|>That suits me well. Can you tell me if they feature live music?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginrequestedslots|>Restaurants^has_live_music<|endrequestedslots|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^date->today|Restaurants^party_size->2|Restaurants^price_range->moderate|Restaurants^restaurant_name->Bird Dog|Restaurants^time->11:30 am<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST->Restaurants^has_live_music~|AFFIRM->Restaurants^~<|enduseraction|><|beginaction|>INFORM->Restaurants^has_live_music~False|NOTIFY_SUCCESS->Restaurants^~<|endaction|><|beginresponse|>Your booking has been made without errors, but unfortunately they do not have live music.<|endresponse|><|endtarget|>"
